favorite_count,full_text,quote_count,reply_count,retweet_count,name,followers_count,above_avg_favorite,above_avg_retweet,above_avg_reply,above_average_engagement,average_favorite_count,average_retweet_count,average_reply_count
1213463,As I was saying … https://t.co/tsGz6fCWuW,9336,49013,91746,Elon Musk,217714310,False,False,False,False,1423669.7777777778,143331.34343434343,52000.51515151515
1203290,I love when people complain about Twitter … on Twitter 🤣🤣,26908,71943,95078,Elon Musk,217714310,False,False,True,True,1423669.7777777778,143331.34343434343,52000.51515151515
1155515,https://t.co/HAhqxoTcvi,8999,23264,93406,Elon Musk,217714310,False,False,False,False,1423669.7777777778,143331.34343434343,52000.51515151515
1184323,My pronouns are Prosecute/Fauci,33489,96305,175141,Elon Musk,217714310,False,True,True,True,1423669.7777777778,143331.34343434343,52000.51515151515
1176106,https://t.co/NEX0wrScDo,6455,22897,71970,Elon Musk,217714310,False,False,False,False,1423669.7777777778,143331.34343434343,52000.51515151515
1172039,The new CEO of Twitter is amazing https://t.co/yBqWFUDIQH,13511,40434,81527,Elon Musk,217714310,False,False,False,False,1423669.7777777778,143331.34343434343,52000.51515151515
1175346,High time for an AI fashion show https://t.co/ra6cHQ4AAu,17009,33726,151132,Elon Musk,217714310,False,True,False,True,1423669.7777777778,143331.34343434343,52000.51515151515
1155584,https://t.co/0FjhdS9Zmw,7615,19162,101419,Elon Musk,217714310,False,False,False,False,1423669.7777777778,143331.34343434343,52000.51515151515
1152467,🇲🇦🇲🇦 Congrats Morocco!! 🇲🇦🇲🇦,12323,30741,122606,Elon Musk,217714310,False,False,False,False,1423669.7777777778,143331.34343434343,52000.51515151515
1157158,I am willing to serve https://t.co/BJhGbcA2e0,12581,58968,119320,Elon Musk,217714310,False,False,True,True,1423669.7777777778,143331.34343434343,52000.51515151515
1186341,"The tower has caught the rocket!!
 https://t.co/CPXsHJBdUh",22601,46533,144658,Elon Musk,217714310,False,True,False,True,1423669.7777777778,143331.34343434343,52000.51515151515
1189195,https://t.co/UlhNZ56Z6D,9467,24993,164407,Elon Musk,217714310,False,True,False,True,1423669.7777777778,143331.34343434343,52000.51515151515
1177681,https://t.co/1h7veRzfGn,4114,32957,66437,Elon Musk,217714310,False,False,False,False,1423669.7777777778,143331.34343434343,52000.51515151515
1122496,I’m not brainwashed!! https://t.co/4kx61uu4yy,37330,64475,141718,Elon Musk,217714310,False,False,True,True,1423669.7777777778,143331.34343434343,52000.51515151515
1165936,https://t.co/nad63csUhQ,6076,27214,110053,Elon Musk,217714310,False,False,False,False,1423669.7777777778,143331.34343434343,52000.51515151515
1143308,Adios Dictatora Maduro,6726,23422,158952,Elon Musk,217714310,False,True,False,True,1423669.7777777778,143331.34343434343,52000.51515151515
1127479,This is real https://t.co/3KjTZiVJG0,11350,34892,209016,Elon Musk,217714310,False,True,False,True,1423669.7777777778,143331.34343434343,52000.51515151515
1149712,I have a good feeling about 2025 https://t.co/LLgTEkpNdP,4271,41607,59157,Elon Musk,217714310,False,False,False,False,1423669.7777777778,143331.34343434343,52000.51515151515
1098584,https://t.co/hDSTKPdQnG,4520,27589,58261,Elon Musk,217714310,False,False,False,False,1423669.7777777778,143331.34343434343,52000.51515151515
1093627,https://t.co/USLO967YsJ,8119,32832,87425,Elon Musk,217714310,False,False,False,False,1423669.7777777778,143331.34343434343,52000.51515151515
1084045,i♥️u,15091,79303,73996,Elon Musk,217714310,False,False,True,True,1423669.7777777778,143331.34343434343,52000.51515151515
1077145,I ♥️ Canada https://t.co/95321VIi8r,49410,68229,89777,Elon Musk,217714310,False,False,True,True,1423669.7777777778,143331.34343434343,52000.51515151515
1085381,https://t.co/Gw6xaw1u0N,23276,27875,128962,Elon Musk,217714310,False,False,False,False,1423669.7777777778,143331.34343434343,52000.51515151515
1080144,"The far left hates everyone, themselves included!",16135,53915,108344,Elon Musk,217714310,False,False,True,True,1423669.7777777778,143331.34343434343,52000.51515151515
1099886,To an exciting &amp; inspiring future! https://t.co/WUIqN7B2F6,14584,42299,100650,Elon Musk,217714310,False,False,False,False,1423669.7777777778,143331.34343434343,52000.51515151515
1108287,https://t.co/TRbXqFpGpr,5961,17725,99358,Elon Musk,217714310,False,False,False,False,1423669.7777777778,143331.34343434343,52000.51515151515
1107922,https://t.co/LoeugQQXOI,3349,28211,57858,Elon Musk,217714310,False,False,False,False,1423669.7777777778,143331.34343434343,52000.51515151515
1038147,Had to been done ur welcome https://t.co/7jT0f9lqIS,23802,14823,304343,Elon Musk,217714310,False,True,False,True,1423669.7777777778,143331.34343434343,52000.51515151515
1052372,https://t.co/gcSXLMwsua,4149,30826,43397,Elon Musk,217714310,False,False,False,False,1423669.7777777778,143331.34343434343,52000.51515151515
1097316,Must be a coincidence 🙄 https://t.co/npsMqqatx0,10081,39514,176063,Elon Musk,217714310,False,True,False,True,1423669.7777777778,143331.34343434343,52000.51515151515
1065621,Texas https://t.co/iQq68InFi4,6686,44750,57210,Elon Musk,217714310,False,False,False,False,1423669.7777777778,143331.34343434343,52000.51515151515
1096192,"Game, set and match",6957,38402,102183,Elon Musk,217714310,False,False,False,False,1423669.7777777778,143331.34343434343,52000.51515151515
1067843,The people of Venezuela have had enough of this clown 🤡,4892,20973,152062,Elon Musk,217714310,False,True,False,True,1423669.7777777778,143331.34343434343,52000.51515151515
1087282,The people of America gave @realDonaldTrump a crystal clear mandate for change tonight,4588,29226,112269,Elon Musk,217714310,False,False,False,False,1423669.7777777778,143331.34343434343,52000.51515151515
1043898,https://t.co/5YdlVQifRn,9840,35157,49630,Elon Musk,217714310,False,False,False,False,1423669.7777777778,143331.34343434343,52000.51515151515
1037224,https://t.co/JcLMee61wj,15964,33478,113931,Elon Musk,217714310,False,False,False,False,1423669.7777777778,143331.34343434343,52000.51515151515
1036281,Chocolate milk is insanely good. Just had some.,13995,64529,66351,Elon Musk,217714310,False,False,True,True,1423669.7777777778,143331.34343434343,52000.51515151515
1036514,https://t.co/TW2lLQakE5,11225,29498,97465,Elon Musk,217714310,False,False,False,False,1423669.7777777778,143331.34343434343,52000.51515151515
1067640,https://t.co/D3xwF6cWBr,4104,22406,86456,Elon Musk,217714310,False,False,False,False,1423669.7777777778,143331.34343434343,52000.51515151515
1032681,https://t.co/OYpEJy1Kct,5971,15384,55657,Elon Musk,217714310,False,False,False,False,1423669.7777777778,143331.34343434343,52000.51515151515
1015499,"Wow, Google has a search ban on President Donald Trump! 

Election interference? https://t.co/dJzgVAAFZA",13829,78837,166795,Elon Musk,217714310,False,True,True,True,1423669.7777777778,143331.34343434343,52000.51515151515
1016688,Halloween with my Mom https://t.co/xOAgNeeiNN,6490,34173,41754,Elon Musk,217714310,False,False,False,False,1423669.7777777778,143331.34343434343,52000.51515151515
1008337,El burro sabe mas que Maduro,12708,30114,157556,Elon Musk,217714310,False,True,False,True,1423669.7777777778,143331.34343434343,52000.51515151515
1038762,https://t.co/0vcCOU5ceE,21317,48205,219712,Elon Musk,217714310,False,True,False,True,1423669.7777777778,143331.34343434343,52000.51515151515
1009898,https://t.co/MnvArHwJRm,8976,32037,81742,Elon Musk,217714310,False,False,False,False,1423669.7777777778,143331.34343434343,52000.51515151515
1012148,"Since I’ve been asked a lot:

Buy stock in several companies that make products &amp; services that *you* believe in.

Only sell if you think their products &amp; services are trending worse. Don’t panic when the market does.

This will serve you well in the long-term.",8922,39158,98604,Elon Musk,217714310,False,False,False,False,1423669.7777777778,143331.34343434343,52000.51515151515
1017312,https://t.co/etG77nfB7M,4420,19892,82887,Elon Musk,217714310,False,False,False,False,1423669.7777777778,143331.34343434343,52000.51515151515
997565,"To all complainers, please continue complaining, but it will cost $8",28559,71682,74902,Elon Musk,217714310,False,False,True,True,1423669.7777777778,143331.34343434343,52000.51515151515
